award,film,nominee_x,year,genre,win,nominee_y
PRODUCTION DESIGN,A Farewell to Arms,"Hans Dreier, Roland Anderson",1933,M,0.0,
PRODUCTION DESIGN,Cavalcade,William S. Darling,1933,M,1.0,
SHORT FILM (Animated),The Three Little Pigs,"Walt Disney, Producer",1933,M,1.0,
WRITING (Adapted Screenplay),Lady for a Day,Robert Riskin,1933,M,0.0,
WRITING (Adapted Screenplay),Little Women,"Victor Heerman, Sarah Y. Mason",1933,X,1.0,2.0
PRODUCTION DESIGN,The Gay Divorcee,"Van Nest Polglase, Carroll Clark",1934,M,0.0,
CINEMATOGRAPHY,Cleopatra,Victor Milner,1934,M,1.0,
CINEMATOGRAPHY,Operator 13,George Folsey,1934,M,0.0,
DIRECTING,It Happened One Night,Frank Capra,1934,M,1.0,
DIRECTING,One Night of Love,Victor Schertzinger,1934,M,0.0,
DIRECTING,The Thin Man,W. S. Van Dyke,1934,M,0.0,
FILM EDITING,Eskimo,Conrad Nervig,1934,M,1.0,
SHORT FILM (Animated),The Tortoise and the Hare,"Walt Disney, Producer",1934,M,1.0,
MUSIC (Original Score),The Gay Divorcee,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Kenneth Webb and Samuel Hoffenstein)",1934,M,0.0,
MUSIC (Original Score),The Lost Patrol,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner)",1934,M,0.0,
MUSIC (Original Score),One Night of Love,"Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn)",1934,M,1.0,
SHORT FILM (Animated),Holiday Land,"Charles Mintz, Producer",1934,M,0.0,
MUSIC (Original Song),"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin,1934,M,0.0,
MUSIC (Original Song),"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson,1934,M,1.0,
MUSIC (Original Song),"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,1934,M,0.0,
CINEMATOGRAPHY,The Affairs of Cellini,Charles Rosher,1934,M,0.0,
SHORT FILM (Animated),Jolly Little Elves,"Walter Lantz, Producer",1934,M,0.0,
PRODUCTION DESIGN,The Merry Widow,"Cedric Gibbons, Fredric Hope",1934,M,1.0,
FILM EDITING,One Night of Love,Gene Milford,1934,M,0.0,
WRITING (Adapted Screenplay),It Happened One Night,Robert Riskin,1934,M,1.0,
WRITING (Adapted Screenplay),The Thin Man,"Frances Goodrich, Albert Hackett",1934,X,0.0,2.0
WRITING (Adapted Screenplay),Viva Villa!,Ben Hecht,1934,M,0.0,
WRITING (Original Screenplay),Hide-Out,Mauri Grashin,1934,M,0.0,
WRITING (Original Screenplay),Manhattan Melodrama,Arthur Caesar,1934,M,1.0,
WRITING (Original Screenplay),The Richest Girl in the World,Norman Krasna,1934,M,0.0,
FILM EDITING,Cleopatra,Anne Bauchens,1934,F,0.0,
PRODUCTION DESIGN,The Affairs of Cellini,Richard Day,1934,M,0.0,
FILM EDITING,The Informer,George Hively,1935,M,0.0,
WRITING (Adapted Screenplay),The Lives of a Bengal Lancer,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt",1935,M,0.0,
SHORT FILM (Animated),Who Killed Cock Robin?,"Walt Disney, Producer",1935,M,0.0,
WRITING (Adapted Screenplay),Mutiny on the Bounty,"Talbot Jennings, Jules Furthman, Carey Wilson",1935,M,0.0,
MUSIC (Original Song),"""Cheek To Cheek"" from Top Hat",Music and Lyrics by Irving Berlin,1935,M,0.0,
MUSIC (Original Song),"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music by Harry Warren; Lyrics by Al Dubin,1935,M,1.0,
DIRECTING,The Informer,John Ford,1935,M,1.0,
DIRECTING,The Lives of a Bengal Lancer,Henry Hathaway,1935,M,0.0,
MUSIC (Original Score),Peter Ibbetson,"Paramount Studio Music Department, Irvin Talbot, head of department (Score by Ernst Toch)",1935,M,0.0,
FILM EDITING,David Copperfield,Robert J. Kern,1935,M,0.0,
FILM EDITING,The Lives of a Bengal Lancer,Ellsworth Hoagland,1935,M,0.0,
FILM EDITING,A Midsummer Night's Dream,Ralph Dawson,1935,M,1.0,
MUSIC (Original Score),The Informer,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner)",1935,M,1.0,
MUSIC (Original Score),Mutiny on the Bounty,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department (Score by Herbert Stothart)",1935,M,0.0,
DIRECTING,Captain Blood,Michael Curtiz,1935,M,0.0,
MUSIC (Original Score),Captain Blood,"Warner Bros.-First National Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold)",1935,M,0.0,
WRITING (Adapted Screenplay),The Informer,Dudley Nichols,1935,M,1.0,
WRITING (Original Screenplay),The Scoundrel,"Ben Hecht, Charles MacArthur",1935,M,1.0,
FILM EDITING,Mutiny on the Bounty,Margaret Booth,1935,F,0.0,
MUSIC (Original Song),"""Lovely To Look At"" from Roberta",Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh,1935,X,0.0,2.0
PRODUCTION DESIGN,The Dark Angel,Richard Day,1935,M,1.0,
CINEMATOGRAPHY,Les Miserables,Gregg Toland,1935,M,0.0,
FILM EDITING,Les Miserables,Barbara McLean,1935,F,0.0,
CINEMATOGRAPHY,The Crusades,Victor Milner,1935,M,0.0,
PRODUCTION DESIGN,Top Hat,"Van Nest Polglase, Carroll Clark",1935,M,0.0,
PRODUCTION DESIGN,The Lives of a Bengal Lancer,"Hans Dreier, Roland Anderson",1935,M,0.0,
CINEMATOGRAPHY,Barbary Coast,Ray June,1935,M,0.0,
WRITING (Adapted Screenplay),Captain Blood,Casey Robinson,1935,M,0.0,
WRITING (Original Screenplay),The Gay Deception,"Don Hartman, Stephen Avery",1935,M,0.0,
WRITING (Original Screenplay),G-Men,Gregory Rogers,1935,M,0.0,
DIRECTING,Mutiny on the Bounty,Frank Lloyd,1935,M,0.0,
CINEMATOGRAPHY,A Midsummer Night's Dream,Hal Mohr,1935,M,1.0,
WRITING (Original Screenplay),Broadway Melody of 1936,Moss Hart,1935,M,0.0,
SHORT FILM (Animated),Three Orphan Kittens,"Walt Disney, Producer",1935,M,1.0,
WRITING (Original Screenplay),The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney",1936,X,1.0,2.0
WRITING (Adapted Screenplay),My Man Godfrey,"Eric Hatch, Morris Ryskind",1936,M,0.0,
MUSIC (Original Song),"""I've Got You Under My Skin"" from Born to Dance",Music and Lyrics by Cole Porter,1936,M,0.0,
MUSIC (Original Score),Winterset,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department (Score by Nathaniel Shilkret)",1936,M,0.0,
WRITING (Adapted Screenplay),The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney",1936,X,1.0,2.0
MUSIC (Original Score),The General Died at Dawn,"Paramount Studio Music Department, Boris Morros, head of department (Score by Werner Janssen)",1936,M,0.0,
DIRECTING,Dodsworth,William Wyler,1936,M,0.0,
DIRECTING,The Great Ziegfeld,Robert Z. Leonard,1936,M,0.0,
WRITING (Adapted Screenplay),Dodsworth,Sidney Howard,1936,M,0.0,
DIRECTING,Mr. Deeds Goes to Town,Frank Capra,1936,M,1.0,
DIRECTING,San Francisco,W. S. Van Dyke,1936,M,0.0,
FILM EDITING,Anthony Adverse,Ralph Dawson,1936,M,1.0,
FILM EDITING,Come and Get It,Edward Curtiss,1936,M,0.0,
FILM EDITING,The Great Ziegfeld,William S. Gray,1936,M,0.0,
FILM EDITING,A Tale of Two Cities,Conrad A. Nervig,1936,M,0.0,
FILM EDITING,Theodora Goes Wild,Otto Meyer,1936,M,0.0,
MUSIC (Original Score),Anthony Adverse,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold)",1936,M,1.0,
MUSIC (Original Score),The Charge of the Light Brigade,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Max Steiner)",1936,M,0.0,
MUSIC (Original Score),The Garden of Allah,"Selznick International Pictures Music Department, Max Steiner, head of department (Score by Max Steiner)",1936,M,0.0,
DIRECTING,My Man Godfrey,Gregory La Cava,1936,M,0.0,
WRITING (Adapted Screenplay),Mr. Deeds Goes to Town,Robert Riskin,1936,M,0.0,
WRITING (Adapted Screenplay),After the Thin Man,"Frances Goodrich, Albert Hackett",1936,X,0.0,2.0
CINEMATOGRAPHY,Anthony Adverse,Gaetano Gaudio,1936,M,1.0,
CINEMATOGRAPHY,The General Died at Dawn,Victor Milner,1936,M,0.0,
CINEMATOGRAPHY,The Gorgeous Hussy,George Folsey,1936,M,0.0,
